title,skills,experience,salary_lpa,certifications
Machine Learning Engineer,"AWS, TensorFlow, Python, Machine Learning",2-5 years,9.0,"TensorFlow Cert, Azure ML"
Frontend Developer,"HTML, Angular, Vue.js, JavaScript",5+ years,22.6,
Analytics Consultant,"Python, Communication, Statistics, Power BI",1-3 years,10.6,
Data Analyst,"Statistics, Tableau, Power BI, Python",3-7 years,15.2,Power BI Analyst
Operations Manager,"Analytics, Process Optimization, Operations, Leadership",0-1 year,5.7,"APICS, MBA"
Business Analyst Manager,"Excel, SQL, Leadership, Power BI",3-7 years,16.8,MBA
Engineering Manager,"Kubernetes, SQL, Python",0-1 year,7.8,
Business Manager,"Kubernetes, Leadership, Business Strategy, Negotiation",3-7 years,20.1,"MBA, CHRL"
Business Analyst Manager,"Agile, SQL, Excel, Power BI",3-7 years,21.2,"MBA, CBAP"
Frontend Developer,"React, Vue.js, Angular, HTML",5+ years,17.4,
Software Engineer,"Deep Learning, SQL, REST API, DSA",2-5 years,11.9,
Engineering Manager,"SQL, Python",1-3 years,9.2,
Strategy Consultant,"AWS, Financial Analysis, Research, Market Analysis",5+ years,26.6,Strategic Management Cert
Operations Manager,"Operations, Supply Chain, Analytics, Process Optimization",2-5 years,14.1,"Six Sigma, MBA"
Machine Learning Engineer,"Deep Learning, Machine Learning, AWS, Python",0-1 year,6.5,AWS ML
Management Consultant,"Leadership, Problem Solving, Consulting, Communication",0-1 year,6.5,MCSE
Full Stack Developer,"AWS, SQL, Python, React",5+ years,29.3,
Business Analyst,"AWS, Power BI, SQL, Communication",2-5 years,14.7,
Data Engineer,"Spark, ETL, Hadoop, SQL",2-5 years,9.2,
Operations Manager,"Leadership, Analytics, Operations, Supply Chain",2-5 years,12.2,Six Sigma
Business Analyst,"Spark, Tableau, Power BI, SQL",1-3 years,5.9,
Business Analyst,"AWS, SQL, Tableau, Communication",0-1 year,5.6,
Machine Learning Engineer,"Machine Learning, GCP, Python, TensorFlow",5+ years,28.2,"TensorFlow Cert, AWS ML"
Business Analyst,"Excel, Power BI, Communication, Tableau",0-1 year,5.1,
Project Manager,"Azure, Leadership, Project Management, Risk Management",5+ years,32.0,"MBA, PRINCE2"
Data Analyst,"SQL, Tableau, Python, Statistics",2-5 years,14.5,"Google Data Analytics, Tableau Specialist"
Cloud Engineer,"Terraform, AWS, GCP, Docker",3-7 years,11.3,"GCP Associate, AZ-305"
Machine Learning Engineer,"GCP, Python, Machine Learning, Deep Learning",2-5 years,12.8,Azure ML
Full Stack Developer,"REST API, Python, Docker, React",3-7 years,14.7,
Business Manager,"Leadership, Analytics, Negotiation, P&L Management",5+ years,19.7,MBA
Backend Developer,"Java, REST API, Spring Boot, Node.js",1-3 years,6.6,Spring Professional
Senior Engineer,"SQL, Python",0-1 year,5.8,
Finance Manager,"Kubernetes, Risk Management, Budgeting, Financial Analysis",0-1 year,8.4,CA
Frontend Developer,"CSS, React, JavaScript, Angular",0-1 year,4.5,
Operations Manager,"Analytics, Supply Chain, Leadership, Operations",1-3 years,7.0,"MBA, Six Sigma"
Full Stack Developer,"React, JavaScript, SQL, Docker",0-1 year,5.7,
Scrum Master,"Communication, Project Management, Leadership, Agile",2-5 years,9.7,CSPO
Senior Engineer,"Python, SQL",2-5 years,10.5,
Scrum Master,"Agile, Mentoring, Communication, Leadership",0-1 year,6.8,"CSM, CSPO"
Product Manager,"Market Analysis, User Research, Product Strategy, Data Analysis",5+ years,25.1,PSPO
BI Analyst,"Deep Learning, Power BI, Data Visualization, Tableau",2-5 years,15.5,
Cloud Engineer,"Docker, GCP, Terraform, Kubernetes",5+ years,18.0,AZ-305
Agile Coach,"Leadership, Process Optimization, Agile, Training",3-7 years,12.8,PMC
Cloud Engineer,"Azure, AWS, GCP, Docker",3-7 years,15.2,"AWS Solutions Architect, AZ-305"
Solutions Architect,"SQL, Python",2-5 years,14.1,
Strategy Consultant,"Market Analysis, Consulting, Research, Financial Analysis",5+ years,23.7,MBA
Backend Developer,"Python, REST API, Node.js, SQL",1-3 years,8.6,"Spring Professional, AWS Developer"
Finance Manager,"Accounting, Excel, Risk Management, Budgeting",1-3 years,8.4,"CFA, CA"
Product Lead,"Product Strategy, User Research, Leadership, Data Analysis",5+ years,19.9,"PSPO, MBA"
Cloud Engineer,"Azure, Kubernetes, Terraform, Docker",3-7 years,16.6,AZ-305
Backend Developer,"Java, SQL, Python, Django",0-1 year,5.5,"AWS Developer, Spring Professional"
Technical Lead,"SQL, Python",5+ years,23.7,
Data Analyst,"Kubernetes, Python, SQL, Excel",3-7 years,13.3,Tableau Specialist
Data Scientist,"Statistics, Python, Deep Learning, Machine Learning",1-3 years,6.8,"AWS ML, Azure Data Scientist"
Business Analyst,"Excel, Tableau, SQL, Power BI",1-3 years,5.5,
DevOps Engineer,"Kubernetes, Jenkins, CI/CD, AWS",5+ years,23.4,"AWS DevOps, Jenkins"
Project Manager,"Communication, Leadership, Risk Management, Agile",5+ years,20.0,"MBA, PMP"
Management Consultant,"Communication, Problem Solving, Consulting, Data Analysis",1-3 years,11.0,"MBA, MCSE"
Data Engineer,"Machine Learning, SQL, ETL, Hadoop",0-1 year,5.4,
Data Engineer,"Spark, Python, ETL, AWS",5+ years,15.3,
Cloud Engineer,"Terraform, AWS, Kubernetes, Docker",5+ years,26.0,AWS Solutions Architect
Agile Coach,"Leadership, Coaching, Process Optimization, Agile",0-1 year,7.2,CAL
Scrum Master,"Project Management, Communication, Mentoring, Agile",3-7 years,16.6,CSM
Program Manager,"Machine Learning, Leadership, Program Management, Planning",1-3 years,10.5,PgMP
Data Analyst,"Python, Statistics, Excel, SQL",2-5 years,13.6,"Power BI Analyst, Tableau Specialist"
Operations Manager,"GCP, Operations, Supply Chain, Analytics",2-5 years,16.1,MBA
Product Manager,"Azure, User Research, Market Analysis, Data Analysis",0-1 year,7.0,"CSPM, MBA"
Management Consultant,"Consulting, Data Analysis, Problem Solving, Leadership",5+ years,21.1,MCSE
Junior Developer,"Python, SQL",5+ years,29.4,
Management Consultant,"Consulting, Data Analysis, Problem Solving, Communication",3-7 years,12.1,"MBA, MCSE"
Finance Manager,"Azure, Accounting, Budgeting, Risk Management",1-3 years,11.0,"CFA, MBA"
Software Engineer,"DSA, Microservices, SQL, OOPs",5+ years,18.0,
Management Consultant,"Leadership, Consulting, Communication, Data Analysis",5+ years,22.7,MCSE
Frontend Developer,"Machine Learning, React, CSS, JavaScript",2-5 years,13.7,
Data Scientist,"Python, Statistics, Deep Learning, SQL",3-7 years,15.3,"GCP ML Engineer, AWS ML"
Data Analyst,"Kubernetes, Power BI, Python, SQL",0-1 year,4.2,"Google Data Analytics, Tableau Specialist"
Business Analyst Manager,"AWS, Leadership, Agile, SQL",1-3 years,12.2,MBA
Data Scientist,"Kubernetes, SQL, Python, TensorFlow",0-1 year,5.6,"GCP ML Engineer, Azure Data Scientist"
Technical Lead,"GCP, Python, SQL",0-1 year,4.5,
Operations Manager,"Kubernetes, Leadership, Process Optimization, Supply Chain",1-3 years,9.5,MBA
Program Manager,"AWS, Stakeholder Management, Planning, Leadership",5+ years,22.6,"MBA, PgMP"
BI Analyst,"Excel, Power BI, SQL, Tableau",1-3 years,6.9,
Agile Coach,"Kubernetes, Training, Process Optimization, Agile",1-3 years,11.6,CAL
Scrum Master,"Agile, Project Management, Mentoring, Communication",0-1 year,6.2,PSM
Backend Developer,"Kubernetes, Java, Django, REST API",3-7 years,18.1,Spring Professional
Data Engineer,"SQL, Python, Spark, ETL",0-1 year,3.6,
Business Manager,"Negotiation, Analytics, Leadership, Business Strategy",1-3 years,8.0,"CHRL, MBA"
Scrum Master,"Mentoring, Agile, Communication, Project Management",0-1 year,5.5,"CSM, CSPO"
Data Scientist,"Azure, TensorFlow, Statistics, Deep Learning",3-7 years,17.3,"GCP ML Engineer, Azure Data Scientist"
Program Manager,"Program Management, Stakeholder Management, Leadership, Planning",2-5 years,12.7,"PgMP, SAFe"
Data Scientist,"GCP, Deep Learning, Python, SQL",5+ years,20.1,AWS ML
Full Stack Developer,"SQL, React, JavaScript, Docker",5+ years,18.0,
BI Analyst,"Tableau, SQL, Power BI, Excel",3-7 years,17.5,
Frontend Developer,"CSS, Angular, HTML, Vue.js",0-1 year,4.3,
Cloud Engineer,"GCP, AWS, Azure, Terraform",0-1 year,5.1,"AZ-305, GCP Associate"
Solutions Architect,"Python, SQL",2-5 years,11.0,
BI Analyst,"Azure, Power BI, Data Visualization, Excel",2-5 years,8.8,
Business Analyst Manager,"Excel, Power BI, Agile, SQL",2-5 years,9.1,"MBA, CBAP"
Business Manager,"Deep Learning, Analytics, Business Strategy, P&L Management",5+ years,27.9,"CHRL, MBA"
Product Manager,"Data Analysis, User Research, Market Analysis, Product Strategy",2-5 years,15.9,"CSPM, MBA"
Business Analyst,"Power BI, Communication, SQL, Tableau",1-3 years,9.6,
Engineering Manager,"SQL, Python",3-7 years,22.0,
Technical Lead,"AWS, Python, SQL",2-5 years,13.7,
Business Analyst Manager,"SQL, Excel, Agile, Leadership",1-3 years,10.3,CCBA
Data Scientist,"Deep Learning, TensorFlow, Python, Statistics",0-1 year,5.8,"Azure Data Scientist, GCP ML Engineer"
Machine Learning Engineer,"GCP, Python, Deep Learning, Machine Learning",2-5 years,12.4,"Azure ML, AWS ML"
Frontend Developer,"JavaScript, React, Angular, Vue.js",2-5 years,12.3,
Junior Developer,"Python, SQL",3-7 years,19.1,
Technical Lead,"Python, SQL",5+ years,18.4,
Management Consultant,"Data Analysis, Communication, Leadership, Problem Solving",2-5 years,13.6,"MBA, MCSE"
Solutions Architect,"SQL, Python",0-1 year,5.0,
Cloud Engineer,"Kubernetes, Docker, Azure, Terraform",2-5 years,10.4,"AZ-305, GCP Associate"
Senior Engineer,"SQL, Python",0-1 year,5.3,
Software Engineer,"Microservices, SQL, OOPs, REST API",1-3 years,8.9,
Technical Lead,"Azure, Python, SQL",3-7 years,16.2,
Data Analyst,"Spark, SQL, Tableau, Excel",1-3 years,10.3,Tableau Specialist
BI Analyst,"Data Visualization, Excel, Tableau, Power BI",3-7 years,14.1,
Backend Developer,"Azure, Python, REST API, Node.js",3-7 years,16.6,"AWS Developer, Spring Professional"
Analytics Consultant,"Communication, Python, SQL, Statistics",2-5 years,11.9,
Program Manager,"Spark, Program Management, Leadership, Communication",3-7 years,16.3,"SAFe, PgMP"
Cloud Engineer,"Terraform, Kubernetes, Docker, Azure",1-3 years,9.6,AWS Solutions Architect
Business Analyst,"Tableau, Power BI, Excel, SQL",3-7 years,18.8,
Software Engineer,"REST API, OOPs, SQL, Java",2-5 years,12.1,
Data Scientist,"AWS, Statistics, SQL, Deep Learning",2-5 years,12.8,AWS ML
Machine Learning Engineer,"AWS, Deep Learning, TensorFlow, Python",0-1 year,4.4,Azure ML
Solutions Architect,"Python, SQL",3-7 years,13.7,
Scrum Master,"Communication, Project Management, Agile, Leadership",1-3 years,8.7,"CSM, PSM"
Machine Learning Engineer,"Azure, AWS, Machine Learning, TensorFlow",5+ years,19.2,"AWS ML, TensorFlow Cert"
Solutions Architect,"Python, SQL",1-3 years,9.1,
Management Consultant,"Problem Solving, Consulting, Communication, Data Analysis",1-3 years,9.3,MBA
Business Analyst Manager,"SQL, Excel, Leadership, Agile",3-7 years,19.0,CCBA
Senior Engineer,"Machine Learning, SQL, Python",3-7 years,19.4,
Data Analyst,"Excel, Power BI, Tableau, Statistics",5+ years,24.2,Tableau Specialist
Agile Coach,"Process Optimization, Coaching, Leadership, Training",0-1 year,6.1,"PMC, CAL"
Backend Developer,"Node.js, REST API, Java, SQL",5+ years,23.4,"Spring Professional, AWS Developer"
Full Stack Developer,"GCP, REST API, Docker, SQL",2-5 years,11.2,
Project Manager,"Azure, Risk Management, Agile, Project Management",1-3 years,9.8,"MBA, PRINCE2"
Program Manager,"Communication, Leadership, Planning, Program Management",5+ years,26.9,SAFe
Management Consultant,"AWS, Leadership, Communication, Data Analysis",0-1 year,6.0,MBA
Data Scientist,"Machine Learning, SQL, TensorFlow, Python",5+ years,20.2,AWS ML
Backend Developer,"REST API, Node.js, Spring Boot, Django",3-7 years,11.2,"AWS Developer, Spring Professional"
Solutions Architect,"Spark, Python, SQL",5+ years,26.3,
Program Manager,"Azure, Stakeholder Management, Planning, Communication",3-7 years,13.7,SAFe
Frontend Developer,"Deep Learning, Angular, CSS, HTML",3-7 years,12.9,
Full Stack Developer,"REST API, SQL, Python, React",1-3 years,8.1,
Business Analyst,"Tableau, SQL, Communication, Power BI",5+ years,19.8,
Cloud Engineer,"Kubernetes, Docker, AWS, Azure",0-1 year,4.0,GCP Associate
Technical Lead,"SQL, Python",2-5 years,8.6,
Product Manager,"User Research, Leadership, Market Analysis, Data Analysis",0-1 year,6.3,PSPO
Finance Manager,"GCP, Accounting, Excel, Financial Analysis",5+ years,23.2,MBA
Engineering Manager,"Python, SQL",1-3 years,10.1,
Business Manager,"Negotiation, Business Strategy, P&L Management, Leadership",1-3 years,11.4,CHRL
Junior Developer,"Python, SQL",1-3 years,6.8,
Full Stack Developer,"Machine Learning, Docker, React, JavaScript",0-1 year,4.8,
Product Lead,"Azure, Communication, Leadership, User Research",2-5 years,9.8,"PSPO, MBA"
DevOps Engineer,"Kubernetes, Linux, Jenkins, AWS",1-3 years,8.5,Jenkins
DevOps Engineer,"Kubernetes, Git, Docker, AWS",3-7 years,14.5,"AWS DevOps, Jenkins"
Technical Lead,"Machine Learning, Python, SQL",3-7 years,11.8,
Senior Engineer,"Python, SQL",3-7 years,15.3,
Product Lead,"Leadership, Communication, Product Strategy, Data Analysis",1-3 years,7.2,"PSPO, MBA"
Technical Lead,"Python, SQL",2-5 years,12.5,
Project Manager,"Spark, Agile, Communication, Leadership",3-7 years,22.4,CAPM
Business Analyst,"Machine Learning, SQL, Excel, Tableau",0-1 year,5.9,
Project Manager,"Leadership, Risk Management, Agile, Communication",3-7 years,19.2,"PMP, MBA"
Product Manager,"Machine Learning, User Research, Data Analysis, Product Strategy",1-3 years,9.8,MBA
Solutions Architect,"Python, SQL",5+ years,19.8,
Program Manager,"Leadership, Stakeholder Management, Planning, Communication",0-1 year,5.5,PgMP
Junior Developer,"AWS, Python, SQL",2-5 years,10.7,
Scrum Master,"Agile, Project Management, Mentoring, Communication",5+ years,20.2,PSM
Operations Manager,"Operations, Supply Chain, Process Optimization, Analytics",1-3 years,10.9,APICS
Senior Engineer,"Python, SQL",5+ years,23.7,
Management Consultant,"Data Analysis, Problem Solving, Consulting, Leadership",1-3 years,7.5,MBA
Strategy Consultant,"Consulting, Research, Financial Analysis, Market Analysis",3-7 years,18.5,Strategic Management Cert
BI Analyst,"Azure, SQL, Excel, Tableau",2-5 years,12.5,
Scrum Master,"Kubernetes, Communication, Agile, Mentoring",1-3 years,8.3,"CSM, CSPO"
Full Stack Developer,"REST API, Python, JavaScript, Docker",5+ years,20.8,
Operations Manager,"Deep Learning, Analytics, Leadership, Supply Chain",5+ years,18.4,"APICS, Six Sigma"
Solutions Architect,"SQL, Python",3-7 years,14.9,
Finance Manager,"Risk Management, Financial Analysis, Budgeting, Accounting",3-7 years,14.5,"CA, MBA"
Business Analyst Manager,"Excel, SQL, Power BI, Agile",2-5 years,12.4,"CBAP, MBA"
Software Engineer,"Microservices, Java, DSA, REST API",3-7 years,10.2,
Scrum Master,"Communication, Leadership, Mentoring, Agile",3-7 years,13.3,"CSM, PSM"
Data Scientist,"TensorFlow, Statistics, SQL, Python",1-3 years,7.0,Azure Data Scientist
Software Engineer,"REST API, DSA, Microservices, Java",5+ years,18.5,
Senior Engineer,"Azure, SQL, Python",2-5 years,10.2,
Project Manager,"Machine Learning, Leadership, Risk Management, Agile",5+ years,20.9,MBA
Data Engineer,"ETL, AWS, Hadoop, SQL",2-5 years,8.6,
Data Scientist,"Azure, TensorFlow, SQL, Machine Learning",0-1 year,6.0,AWS ML
Scrum Master,"Azure, Communication, Mentoring, Agile",0-1 year,7.8,CSPO
Software Engineer,"REST API, DSA, SQL, Microservices",5+ years,16.7,
BI Analyst,"Kubernetes, Tableau, Power BI, SQL",1-3 years,10.5,
Full Stack Developer,"Docker, JavaScript, React, REST API",1-3 years,8.4,
Backend Developer,"Django, Spring Boot, Node.js, Java",1-3 years,8.8,AWS Developer
Junior Developer,"Python, SQL",2-5 years,7.7,
Project Manager,"Communication, Leadership, Project Management, Risk Management",1-3 years,9.3,"PMP, CAPM"
Analytics Consultant,"GCP, Python, SQL, Communication",3-7 years,15.2,
Management Consultant,"Data Analysis, Consulting, Leadership, Communication",5+ years,20.7,MCSE
Scrum Master,"Leadership, Project Management, Agile, Mentoring",1-3 years,8.2,"CSM, CSPO"
Engineering Manager,"GCP, Python, SQL",5+ years,29.0,
Technical Lead,"AWS, SQL, Python",0-1 year,4.6,
Analytics Consultant,"Machine Learning, Power BI, SQL, Python",5+ years,20.0,
Business Analyst Manager,"Leadership, Agile, Power BI, Excel",5+ years,31.5,"CBAP, CCBA"
Analytics Consultant,"Azure, Communication, Python, SQL",2-5 years,14.1,
Data Engineer,"Spark, ETL, Python, AWS",0-1 year,3.9,
Cloud Engineer,"Azure, AWS, GCP, Kubernetes",1-3 years,7.3,"AWS Solutions Architect, AZ-305"
Program Manager,"Leadership, Program Management, Planning, Communication",2-5 years,15.6,MBA
Management Consultant,"Communication, Consulting, Problem Solving, Leadership",0-1 year,7.2,"MBA, MCSE"
Cloud Engineer,"Docker, Azure, Terraform, GCP",3-7 years,17.6,AWS Solutions Architect
Project Manager,"Communication, Risk Management, Agile, Project Management",2-5 years,9.2,PMP
Management Consultant,"Problem Solving, Communication, Leadership, Consulting",1-3 years,7.5,MCSE
Technical Lead,"SQL, Python",0-1 year,3.1,
Operations Manager,"Analytics, Leadership, Supply Chain, Operations",5+ years,20.6,"APICS, Six Sigma"
BI Analyst,"Data Visualization, Power BI, Excel, SQL",0-1 year,3.7,
Engineering Manager,"Kubernetes, Python, SQL",1-3 years,9.3,
Business Analyst,"Communication, Tableau, Excel, Power BI",2-5 years,14.5,
Engineering Manager,"Deep Learning, Python, SQL",1-3 years,9.5,
Full Stack Developer,"JavaScript, REST API, Python, React",2-5 years,12.2,
Software Engineer,"REST API, OOPs, DSA, Microservices",1-3 years,8.4,
Project Manager,"AWS, Communication, Leadership, Agile",1-3 years,11.8,MBA
Analytics Consultant,"Communication, Python, Power BI, SQL",3-7 years,13.0,
Operations Manager,"Supply Chain, Leadership, Process Optimization, Operations",5+ years,23.3,MBA
Business Manager,"Leadership, Analytics, Negotiation, Business Strategy",5+ years,24.7,"CHRL, MBA"
Agile Coach,"Agile, Process Optimization, Leadership, Coaching",2-5 years,14.4,CAL
Management Consultant,"Spark, Leadership, Consulting, Problem Solving",2-5 years,11.6,"MCSE, MBA"
Product Manager,"Leadership, Market Analysis, Data Analysis, User Research",2-5 years,14.9,MBA
Software Engineer,"Machine Learning, REST API, DSA, Java",5+ years,26.6,
Software Engineer,"Kubernetes, DSA, Microservices, OOPs",1-3 years,9.3,
Machine Learning Engineer,"GCP, Machine Learning, AWS, TensorFlow",1-3 years,6.0,"AWS ML, TensorFlow Cert"
Product Lead,"Data Analysis, User Research, Leadership, Communication",0-1 year,6.7,"MBA, PSPO"
Senior Engineer,"SQL, Python",5+ years,25.1,
Data Analyst,"SQL, Tableau, Power BI, Python",0-1 year,5.5,Google Data Analytics
Data Engineer,"GCP, Hadoop, Spark, ETL",0-1 year,4.4,
Data Engineer,"Kafka, Python, SQL, ETL",2-5 years,8.5,
Operations Manager,"Machine Learning, Process Optimization, Operations, Analytics",0-1 year,8.4,MBA
BI Analyst,"Excel, Tableau, Data Visualization, Power BI",5+ years,26.5,
Program Manager,"Leadership, Planning, Program Management, Communication",0-1 year,6.5,MBA
DevOps Engineer,"AWS, Git, CI/CD, Jenkins",1-3 years,6.2,Kubernetes (CKA)
Senior Engineer,"Python, SQL",5+ years,20.6,
Frontend Developer,"HTML, Vue.js, Angular, CSS",3-7 years,19.2,
Analytics Consultant,"Python, Statistics, Power BI, Communication",5+ years,23.2,
Software Engineer,"Microservices, SQL, REST API, DSA",1-3 years,9.5,
Data Engineer,"Spark, Kafka, Python, Hadoop",2-5 years,12.1,
Analytics Consultant,"Power BI, SQL, Communication, Statistics",2-5 years,10.7,
DevOps Engineer,"Linux, Git, Kubernetes, CI/CD",0-1 year,4.7,"Jenkins, Kubernetes (CKA)"
Analytics Consultant,"SQL, Power BI, Communication, Statistics",5+ years,17.7,
Backend Developer,"Spring Boot, Python, REST API, Node.js",3-7 years,12.8,AWS Developer
Backend Developer,"Azure, Python, REST API, Node.js",2-5 years,10.1,"AWS Developer, Spring Professional"
BI Analyst,"Deep Learning, Power BI, SQL, Data Visualization",1-3 years,9.0,
Backend Developer,"Node.js, SQL, Java, Django",5+ years,24.0,"Spring Professional, AWS Developer"
Machine Learning Engineer,"Python, TensorFlow, GCP, Deep Learning",2-5 years,10.3,"AWS ML, TensorFlow Cert"
Data Engineer,"AWS, Python, Hadoop, Kafka",1-3 years,9.2,
Solutions Architect,"AWS, Python, SQL",0-1 year,4.2,
Operations Manager,"Kubernetes, Analytics, Operations, Leadership",0-1 year,5.7,APICS
Strategy Consultant,"Consulting, Market Analysis, Research, Business Strategy",3-7 years,18.6,"Strategic Management Cert, MBA"
Junior Developer,"Python, SQL",3-7 years,13.2,
Machine Learning Engineer,"Deep Learning, TensorFlow, AWS, GCP",0-1 year,5.6,"Azure ML, TensorFlow Cert"
Frontend Developer,"HTML, React, Angular, JavaScript",3-7 years,10.4,
Data Engineer,"SQL, AWS, ETL, Hadoop",1-3 years,6.1,
Senior Engineer,"Python, SQL",5+ years,29.6,
Business Analyst,"Kubernetes, Power BI, Communication, Excel",0-1 year,6.1,
Engineering Manager,"SQL, Python",0-1 year,6.2,
Data Analyst,"Statistics, Python, Tableau, SQL",1-3 years,7.0,Tableau Specialist
